MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,Foundation,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageType,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,HasLotFrontage,HasMasVnr,HasGarageYr,HasBasement,ExterCond.n,ExterQual.n,HeatingQC.n,KitchenQual.n,BsmtCond.n,FireplaceQu.n,GarageQual.n,GarageCond.n,Functional.n,BsmtFinType1.n,BsmtFinType2.n,PavedDrive.n,Utilities.n,LotShape.n,BsmtExposure.n,PoolQC.n,GarageFinish.n,BsmtHeight,SalePriceLog
60,RL,0.216074820665833,-0.21787869246598,Pave,NA,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,0.666666666666667,0.5,1.04625759601039,0.89683292843072,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.529034166692444,PConc,706,0,150,856,GasA,Y,SBrkr,-0.773861025096517,1.20737854974615,-0.101197016502059,0.413547216301913,1,0,0.781365814350925,1.23259887250509,0.169927088600022,-0.207698474525451,0.98684936683629,-0.924311211315714,Attchd,0.295002434288667,2,548,-0.740760408320604,0.200006008983298,-0.359600750132276,-0.103330530851366,-0.285935458023539,-0.0631501734693743,NA,NA,-0.0895919598967582,-1.55218353418808,0.157645529176217,WD,Normal,0.44693779307133,0.0891178374416516,0.24001811525835,1,2,3,4,3,3,0,3,3,7,6,1,2,3,3,1,0,2,0.297607266471232,12.247694320221
20,RL,0.664158368210282,-0.0720440827455964,Pave,NA,Lvl,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,0.555555555555556,0.875,0.154764002687865,-0.395604190339239,Gable,CompShg,MetalSd,MetalSd,None,-0.567015949674981,CBlock,978,0,284,1262,GasA,Y,SBrkr,0.261074776085256,-0.785025043886639,-0.101197016502059,-0.471890651387842,0,1,0.781365814350925,-0.756321032880405,0.169927088600022,-0.207698474525451,-0.287758288825272,0.623631660646747,Attchd,0.234950293971921,2,460,1.61487930046892,-0.702842766617084,-0.359600750132276,-0.103330530851366,-0.285935458023539,-0.0631501734693743,NA,NA,-0.0895919598967582,-0.446924857258089,-0.602961577708392,WD,Normal,0.44693779307133,0.0891178374416516,0.24001811525835,1,2,2,4,2,3,3,3,3,7,5,1,2,3,3,4,0,2,0.297607266471232,12.109010932687
60,RL,0.305691530174723,0.137196879027128,Pave,NA,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,0.666666666666667,0.5,0.980221033542051,0.848964886994795,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.338903024057279,PConc,486,0,434,920,GasA,Y,SBrkr,-0.610718435747667,1.23537485316957,-0.101197016502059,0.563755425999282,1,0,0.781365814350925,1.23259887250509,0.169927088600022,-0.207698474525451,-0.287758288825272,0.623631660646747,Attchd,0.290554127598537,2,608,-0.740760408320604,-0.0812091834168209,-0.359600750132276,-0.103330530851366,-0.285935458023539,-0.0631501734693743,NA,NA,-0.0895919598967582,1.02675337864856,0.157645529176217,WD,Normal,0.44693779307133,0.0891178374416516,0.24001811525835,1,2,3,4,3,3,3,3,3,7,6,1,2,3,2,2,0,2,0.297607266471232,12.3171666930358
70,RL,0.0667136381510165,-0.0783847179508305,Pave,NA,Lvl,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,0.666666666666667,0.5,-1.85935115259635,-0.682812438954785,Gable,CompShg,Wd Sdng,Wd Shng,None,-0.567015949674981,BrkTil,216,0,540,756,GasA,Y,SBrkr,-0.506205214446059,0.978742071788293,-0.101197016502059,0.427382182984565,1,0,-1.02736282330994,-0.756321032880405,0.169927088600022,-0.207698474525451,0.349545539005509,0.623631660646747,Detchd,0.283881667563343,3,642,-0.740760408320604,-0.184814780616865,3.87496688722272,-0.103330530851366,-0.285935458023539,-0.0631501734693743,NA,NA,-0.0895919598967582,-1.55218353418808,-1.363568684593,WD,Abnorml,0.44693779307133,0.0891178374416516,0.24001811525835,1,2,2,3,3,4,4,3,3,7,5,1,2,3,2,1,0,1,-0.250997476711292,11.8493977015914
60,RL,0.783647314222135,0.51890311838222,Pave,NA,Lvl,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,0.777777777777778,0.5,0.947202752307884,0.753228804122946,Gable,CompShg,VinylSd,VinylSd,BrkFace,1.39021640098114,PConc,655,0,490,1145,GasA,Y,SBrkr,-0.0371702700681126,1.67165058151773,-0.101197016502059,1.37804203646397,1,0,0.781365814350925,1.23259887250509,1.38565545042224,-0.207698474525451,1.62415319466707,0.623631660646747,Attchd,0.288329974253473,3,836,0.776967189288753,0.540424399783442,-0.359600750132276,-0.103330530851366,-0.285935458023539,-0.0631501734693743,NA,NA,-0.0895919598967582,2.13201205557855,0.157645529176217,WD,Normal,0.44693779307133,0.0891178374416516,0.24001811525835,1,2,3,4,3,3,3,3,3,7,6,1,2,3,2,3,0,2,0.297607266471232,12.4292161968444
50,RL,0.813519550725098,0.500515276287041,Pave,NA,Lvl,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,0.444444444444444,0.5,0.716074783668712,0.513888596943325,Gable,CompShg,VinylSd,VinylSd,None,-0.567015949674981,Wood,732,0,64,796,GasA,Y,SBrkr,-0.926807202611065,0.535467267584275,-0.101197016502059,-0.274248270207093,1,0,-1.02736282330994,1.23259887250509,-2.26152963504441,-0.207698474525451,-0.925062116656053,-0.924311211315714,Attchd,0.27276090083802,2,480,-0.424567158818655,-0.258818778616896,-0.359600750132276,12.6032232155473,-0.285935458023539,-0.0631501734693743,MnPrv,Shed,1.14431217701959,1.39517293762522,0.918252636060826,WD,Normal,0.44693779307133,0.0891178374416516,0.24001811525835,1,2,2,4,2,3,0,3,3,7,6,1,2,3,2,1,0,1,0.297607266471232,11.870599909242
20,RL,0.514797185695465,-0.0106667339589305,Pave,NA,Lvl,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,0.777777777777778,0.5,1.07927587724455,0.992569011302568,Gable,CompShg,VinylSd,VinylSd,Stone,0.473113242387984,PConc,1369,0,317,1686,GasA,Y,SBrkr,1.36228725419,-0.785025043886639,-0.101197016502059,0.381924435312993,1,0,0.781365814350925,-0.756321032880405,0.169927088600022,-0.207698474525451,0.349545539005509,0.623631660646747,Attchd,0.297226587633731,2,636,1.27497155725432,0.140802810583273,-0.359600750132276,-0.103330530851366,-0.285935458023539,-0.0631501734693743,NA,NA,-0.0895919598967582,0.658333819671898,-0.602961577708392,WD,Normal,0.44693779307133,0.0891178374416516,0.24001811525835,1,2,3,4,3,3,4,3,3,7,6,1,2,3,3,3,0,2,1.66911912442754,12.6346030265693
60,RL,-1.72562055202678,0.0271234518642645,Pave,NA,Lvl,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,0.666666666666667,0.625,0.0557091589853625,-0.539208314647012,Gable,CompShg,HdBoard,HdBoard,Stone,0.77508623363207,CBlock,859,32,216,1107,GasA,Y,SBrkr,-0.134036182493993,1.50833881154783,-0.101197016502059,1.16458826478876,1,0,0.781365814350925,1.23259887250509,0.169927088600022,-0.207698474525451,0.349545539005509,2.17157453260921,Attchd,0.228277833936727,2,484,1.11687493250335,2.31652035178419,3.18996329882706,-0.103330530851366,-0.285935458023539,-0.0631501734693743,NA,Shed,0.527360108561415,1.76359249660188,0.918252636060826,WD,Normal,-2.23744784062252,0.0891178374416516,0.24001811525835,1,2,2,4,2,3,3,3,3,7,5,4,2,3,2,2,0,2,0.297607266471232,12.2060726455302
50,RM,-0.202136490375653,-0.513352293029888,Pave,NA,Lvl,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,0.666666666666667,0.5,-1.33105865284967,-1.64017326767327,Gable,CompShg,BrkFace,Wd Shng,None,-0.567015949674981,BrkTil,0,0,952,952,GasA,Y,FuseF,-0.350709933972935,0.969409970647155,-0.101197016502059,0.540038340257592,0,0,0.781365814350925,-0.756321032880405,-1.04580127322219,4.45593111885755,0.98684936683629,2.17157453260921,Detchd,0.13486339344401,2,468,-0.029325596941218,-0.702842766617084,2.8318932412566,-0.103330530851366,-0.285935458023539,-0.0631501734693743,NA,NA,-0.0895919598967582,-0.815344416234751,0.157645529176217,WD,Abnorml,0.44693779307133,0.0891178374416516,0.24001811525835,1,2,2,3,2,3,3,2,3,6,1,1,2,3,3,1,0,1,-0.250997476711292,11.7745202026587
190,RL,-0.232008726878616,-0.348495777693802,Pave,NA,Lvl,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,0.444444444444444,0.625,-1.06691240297633,-1.64017326767327,Gable,CompShg,MetalSd,MetalSd,None,-0.567015949674981,BrkTil,851,0,140,991,GasA,Y,SBrkr,-0.210509271251267,-0.785025043886639,-0.101197016502059,-0.837529056572227,1,0,-1.02736282330994,-0.756321032880405,-1.04580127322219,4.45593111885755,-0.925062116656053,2.17157453260921,Attchd,0.152656620204528,1,205,-0.740760408320604,-0.643639568217059,-0.359600750132276,-0.103330530851366,-0.285935458023539,-0.0631501734693743,NA,NA,-0.0895919598967582,-1.92060309316474,0.157645529176217,WD,Normal,0.44693779307133,0.0891178374416516,0.24001811525835,1,2,2,4,2,3,3,4,3,7,6,1,2,3,3,1,0,2,-0.250997476711292,11.6784399034478
20,RL,0.365436003180649,0.130856243821894,Pave,NA,Lvl,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,0.444444444444444,0.5,-0.208437090887977,-0.922152646134407,Hip,CompShg,HdBoard,HdBoard,None,-0.567015949674981,CBlock,906,0,134,1040,GasA,Y,SBrkr,-0.304826080718571,-0.785025043886639,-0.101197016502059,-0.910656737609104,1,0,-1.02736282330994,-0.756321032880405,0.169927088600022,-0.207698474525451,-0.925062116656053,-0.924311211315714,Detchd,0.210484607176209,1,384,-0.740760408320604,-0.702842766617084,-0.359600750132276,-0.103330530851366,-0.285935458023539,-0.0631501734693743,NA,NA,-0.0895919598967582,-1.55218353418808,0.157645529176217,WD,Normal,0.44693779307133,0.0891178374416516,0.24001811525835,1,2,2,4,2,3,0,3,3,7,3,1,2,3,3,1,0,1,-0.250997476711292,11.7714361601217
60,RL,0.813519550725098,0.222668641593683,Pave,NA,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,0.888888888888889,0.5,1.11229415847872,1.04043705273849,Hip,CompShg,WdShing,Wd Shng,Stone,1.03232248543259,PConc,998,0,177,1175,GasA,Y,SBrkr,0.0571465393991919,1.87928983190803,-0.101197016502059,1.62707143675171,1,0,2.59009445201179,-0.756321032880405,1.38565545042224,-0.207698474525451,2.89876085032863,2.17157453260921,BuiltIn,0.299450740978796,3,736,0.42124978359906,-0.392025975016952,-0.359600750132276,-0.103330530851366,-0.285935458023539,-0.0631501734693743,NA,NA,-0.0895919598967582,0.289914260695236,-1.363568684593,New,Partial,0.44693779307133,0.0891178374416516,0.24001811525835,1,2,4,4,4,3,4,3,3,7,6,1,2,3,2,1,0,3,1.66911912442754,12.7512996960135
